County,"Total law enforcement employees","Total officers","Total civilians",
Adams,583,400,183,
Arapahoe,568,243,325,
Boulder,396,108,288,
Clear Creek,67,25,42,
Douglas,522,351,171,
Elbert,45,36,9,
El Paso,842,525,317,
Gilpin,58,35,23,
Jefferson,761,532,229,
Larimer,408,276,132,
Mesa,232,131,101,
Park,55,30,25,
Teller,75,47,28,
Weld,405,129,276,
Alamosa,46,23,23,
Archuleta,39,17,22,
Baca,13,5,8,
Bent,30,13,17,
Chaffee,58,21,37,
Cheyenne,10,6,4,
Conejos,32,12,20,
Costilla,14,8,6,
Crowley,15,8,7,
Custer,17,11,6,
Delta,65,36,29,
Dolores,9,5,4,
Eagle,82,46,36,
Garfield,128,96,32,
Grand,51,24,27,
Gunnison,29,14,15,
Hinsdale,4,3,1,
Huerfano,40,19,21,
Jackson,12,5,7,
Kiowa,8,5,3,
Kit Carson,29,6,23,
Lake,21,7,14,
La Plata,116,91,25,
Las Animas,32,12,20,
Lincoln,26,10,16,
Logan,45,20,25,
Mineral,7,4,3,
Moffat,38,18,20,
Montezuma,67,27,40,
Montrose,86,48,38,
Morgan,48,43,5,
Otero,23,22,1,
Ouray,8,8,0,
Phillips,4,4,0,
Pitkin,55,22,33,
Prowers,29,10,19,
Rio Blanco,27,13,14,
Rio Grande,43,17,26,
Routt,52,23,29,
Saguache,17,10,7,
San Juan,2,2,0,
San Miguel,32,12,20,
Sedgwick,3,2,1,
Summit,74,53,21,
Washington,31,10,21,
Yuma,21,7,14,
,,,,
,,,,
,,,,
,,,,
